frame,landmark,x,y,z,visibility
10,29,0.730929,0.739797,0.658834,0.139753
10,30,0.691083,0.740589,0.680771,0.134263
10,31,0.727222,0.795913,0.617079,0.469671
10,32,0.695280,0.808252,0.649414,0.457127
11,0,0.672655,0.595005,-0.678835,0.999974
11,1,0.682160,0.565076,-0.693047,0.999973
11,2,0.690955,0.559266,-0.693040,0.999972
11,3,0.698397,0.553087,-0.693202,0.999977
11,4,0.661024,0.565668,-0.691097,0.999964
11,5,0.654579,0.560485,-0.691237,0.999952
11,6,0.647714,0.554148,-0.691220,0.999958
11,7,0.711218,0.513418,-0.607831,0.999977
11,8,0.637673,0.521796,-0.598239,0.999937
11,9,0.687871,0.598440,-0.630414,0.999958
11,10,0.664533,0.602569,-0.628067,0.999960
11,11,0.774410,0.532122,-0.461605,0.999921
11,12,0.596580,0.548449,-0.431573,0.999642
11,13,0.820771,0.667772,-0.388875,0.994047
11,14,0.560066,0.670316,-0.325345,0.985264
11,15,0.832701,0.856892,-0.416836,0.975070
11,16,0.558780,0.856184,-0.349445,0.967111
11,17,0.854129,0.877940,-0.451317,0.907717
11,18,0.536966,0.871784,-0.374795,0.883930
11,19,0.836376,0.880489,-0.469929,0.936249
11,20,0.558063,0.876914,-0.396636,0.917134
11,21,0.824378,0.874604,-0.425363,0.922852
11,22,0.568097,0.873583,-0.358523,0.907003
11,23,0.739498,0.691117,-0.014135,0.999416
11,24,0.659741,0.697047,0.014078,0.999183
11,25,0.737925,0.748309,0.322478,0.477747
11,26,0.674901,0.764174,0.346613,0.478590
11,27,0.731785,0.745660,0.676522,0.291226
11,28,0.688308,0.757471,0.695226,0.283046
11,29,0.733373,0.739397,0.712661,0.133820
11,30,0.690323,0.744186,0.732088,0.127417
11,31,0.728590,0.805610,0.661009,0.455879
11,32,0.692647,0.815214,0.683024,0.441345
12,0,0.672774,0.611994,-0.699387,0.999972
12,1,0.682174,0.580807,-0.713992,0.999974
12,2,0.690982,0.574243,-0.713978,0.999973
12,3,0.698419,0.567513,-0.714144,0.999978
12,4,0.661896,0.583513,-0.713042,0.999966
12,5,0.655546,0.578504,-0.713188,0.999955
12,6,0.648721,0.572104,-0.713155,0.999959
12,7,0.711223,0.529002,-0.620535,0.999979
12,8,0.638079,0.537765,-0.615772,0.999941
12,9,0.687704,0.613308,-0.647984,0.999959
12,10,0.664843,0.618886,-0.647008,0.999962
12,11,0.774380,0.543090,-0.468827,0.999928
12,12,0.596616,0.559888,-0.441567,0.999676
12,13,0.820985,0.667639,-0.381167,0.994236
12,14,0.559879,0.671543,-0.317752,0.985124
12,15,0.832676,0.857403,-0.410481,0.975671
12,16,0.558776,0.856162,-0.336741,0.967187
12,17,0.854027,0.878054,-0.445216,0.908797
12,18,0.536678,0.871885,-0.360889,0.885785
12,19,0.836182,0.880414,-0.465452,0.936970
12,20,0.557382,0.877120,-0.384931,0.918699
12,21,0.824312,0.874532,-0.419257,0.922736
12,22,0.567925,0.873716,-0.346167,0.907454
12,23,0.739957,0.697234,-0.014174,0.999402
12,24,0.659966,0.703934,0.014124,0.999164
12,25,0.738710,0.753832,0.335653,0.456808
12,26,0.674663,0.763648,0.360249,0.450275
12,27,0.733055,0.754010,0.708315,0.272217
12,28,0.688398,0.765536,0.730842,0.262362
12,29,0.734134,0.743038,0.746509,0.127750
12,30,0.689804,0.749559,0.769671,0.119855
12,31,0.729692,0.809621,0.691241,0.436854
12,32,0.692639,0.819036,0.716924,0.418990
13,0,0.673495,0.646404,-0.862710,0.999970
13,1,0.682242,0.619505,-0.882925,0.999975
13,2,0.690923,0.611940,-0.882903,0.999975
13,3,0.698334,0.603630,-0.883060,0.999978
13,4,0.662638,0.622496,-0.881407,0.999967
13,5,0.656284,0.617181,-0.881611,0.999957
13,6,0.649450,0.610179,-0.881518,0.999961
13,7,0.711007,0.565269,-0.775885,0.999980
13,8,0.638896,0.573849,-0.769058,0.999946
13,9,0.687881,0.643902,-0.802047,0.999961
13,10,0.665854,0.651043,-0.800661,0.999963
13,11,0.772609,0.561175,-0.577892,0.999935
13,12,0.596869,0.582074,-0.550587,0.999708
13,13,0.821410,0.664675,-0.390050,0.994524
13,14,0.559119,0.671801,-0.342060,0.985779
13,15,0.832653,0.856704,-0.415073,0.977264
13,16,0.558731,0.854852,-0.332943,0.969235
13,17,0.853479,0.877365,-0.454521,0.914678
13,18,0.536482,0.870579,-0.361604,0.893824
13,19,0.836104,0.879569,-0.480385,0.940849
13,20,0.556525,0.876256,-0.394332,0.924373
13,21,0.824319,0.873553,-0.425003,0.926742
13,22,0.567591,0.873468,-0.344545,0.913090
13,23,0.740112,0.721905,-0.013116,0.999388
13,24,0.660041,0.729404,0.013193,0.999145
13,25,0.739441,0.760469,0.446545,0.432425
13,26,0.674597,0.773259,0.456062,0.420654
13,27,0.733855,0.752580,0.936473,0.251116
13,28,0.684257,0.767621,0.952087,0.240735
13,29,0.737480,0.738560,0.988400,0.122203
13,30,0.681806,0.744970,1.005824,0.112153
13,31,0.732655,0.808240,0.945007,0.408519
13,32,0.690641,0.817930,0.966302,0.389706
14,0,0.673550,0.668956,-0.812759,0.999963
14,1,0.682127,0.642849,-0.831205,0.999974
14,2,0.690563,0.635700,-0.831201,0.999974
14,3,0.698049,0.627436,-0.831381,0.999978
14,4,0.662814,0.645001,-0.829713,0.999966
14,5,0.656499,0.639772,-0.829913,0.999957
14,6,0.649702,0.632965,-0.829845,0.999959
14,7,0.710990,0.587086,-0.728313,0.999981
14,8,0.638890,0.595303,-0.721793,0.999949
14,9,0.687853,0.666733,-0.755219,0.999960
14,10,0.665928,0.672087,-0.753829,0.999962
14,11,0.771157,0.574253,-0.541947,0.999941
14,12,0.596552,0.597338,-0.515196,0.999736
14,13,0.821773,0.663058,-0.373579,0.994513
14,14,0.558466,0.671874,-0.303553,0.985434
14,15,0.831221,0.851034,-0.357827,0.978243
14,16,0.558743,0.854668,-0.267607,0.970558
14,17,0.851049,0.875279,-0.389019,0.918347
14,18,0.536494,0.870005,-0.287051,0.900173
14,19,0.834584,0.877770,-0.414118,0.943143
14,20,0.555888,0.876164,-0.318798,0.928792
14,21,0.823553,0.871329,-0.365673,0.928252
14,22,0.567196,0.873456,-0.277728,0.916741
14,23,0.740132,0.735871,-0.012485,0.999367
14,24,0.660031,0.741251,0.012636,0.999101
14,25,0.741151,0.761853,0.422185,0.404832
14,26,0.672319,0.770303,0.433030,0.389219
14,27,0.738987,0.749213,0.877328,0.231472
14,28,0.682280,0.764441,0.893894,0.220512
14,29,0.738323,0.738258,0.925494,0.116655
14,30,0.682455,0.742701,0.943806,0.104712
14,31,0.735090,0.805183,0.881182,0.379385
14,32,0.689698,0.815446,0.902810,0.360442
15,0,0.674102,0.706246,-0.911964,0.999924
15,1,0.682144,0.680141,-0.940131,0.999968
15,2,0.690579,0.672412,-0.940131,0.999967
15,3,0.698107,0.663212,-0.940356,0.999971
15,4,0.663524,0.682919,-0.939166,0.999959
15,5,0.657315,0.678099,-0.939425,0.999949
15,6,0.650646,0.671695,-0.939293,0.999952
15,7,0.710898,0.621221,-0.846056,0.999980
15,8,0.638891,0.634613,-0.840579,0.999950
15,9,0.687869,0.702763,-0.852688,0.999949
15,10,0.666912,0.707388,-0.851830,0.999953
15,11,0.769984,0.601948,-0.635773,0.999945
15,12,0.595227,0.621883,-0.614956,0.999760
15,13,0.821496,0.662688,-0.414717,0.994802
15,14,0.557324,0.676142,-0.324229,0.986260
15,15,0.830909,0.850748,-0.390405,0.979275
15,16,0.558158,0.854187,-0.294895,0.972568
15,17,0.850526,0.874361,-0.431183,0.922832
15,18,0.536493,0.869827,-0.327019,0.907832
15,19,0.833976,0.876144,-0.454817,0.945918
15,20,0.555494,0.876158,-0.361398,0.934233
15,21,0.823181,0.870260,-0.399803,0.931039
15,22,0.566506,0.873448,-0.306526,0.922753
15,23,0.740769,0.751088,-0.011017,0.999326
15,24,0.658044,0.761562,0.011260,0.999075
15,25,0.742120,0.768371,0.509453,0.382216
15,26,0.665639,0.782845,0.518380,0.364511
15,27,0.742260,0.750700,1.066678,0.212922
15,28,0.675076,0.760922,1.080616,0.202021
15,29,0.739360,0.735965,1.128481,0.111874
15,30,0.674610,0.740998,1.143601,0.098377
15,31,0.741300,0.805840,1.115094,0.350778
15,32,0.686148,0.811984,1.131978,0.331982
16,0,0.674000,0.730279,-0.972447,0.999836
16,1,0.681345,0.704705,-1.005018,0.999952
16,2,0.689676,0.697559,-1.005002,0.999950
16,3,0.697664,0.688317,-1.005252,0.999957
16,4,0.663396,0.705329,-1.003796,0.999942
16,5,0.657163,0.699729,-1.004069,0.999930
16,6,0.650467,0.692648,-1.003903,0.999936
16,7,0.710858,0.644476,-0.911345,0.999976
16,8,0.638014,0.654352,-0.904696,0.999948
16,9,0.686842,0.728414,-0.910598,0.999922
16,10,0.666900,0.731322,-0.909474,0.999931
16,11,0.768811,0.616697,-0.685694,0.999946
16,12,0.592555,0.633669,-0.663958,0.999781
16,13,0.821846,0.662269,-0.441528,0.995068
16,14,0.557191,0.676589,-0.343591,0.987062
16,15,0.830351,0.850854,-0.393661,0.979795
16,16,0.557668,0.854469,-0.288526,0.974370
16,17,0.850071,0.874278,-0.437718,0.925803
16,18,0.536451,0.870300,-0.322410,0.914777
16,19,0.833177,0.875487,-0.463534,0.947389
16,20,0.553660,0.876166,-0.357641,0.939127
16,21,0.822869,0.869936,-0.402610,0.931997
16,22,0.565501,0.873427,-0.299724,0.928067
16,23,0.740980,0.764998,-0.009970,0.999222
16,24,0.654764,0.774958,0.010254,0.999015
16,25,0.742349,0.777365,0.561335,0.360574
16,26,0.661338,0.783331,0.569867,0.342344
16,27,0.740235,0.756452,1.169935,0.196083
16,28,0.671551,0.761362,1.183822,0.185738
16,29,0.738890,0.735873,1.238572,0.108092
16,30,0.670764,0.742173,1.253468,0.093615
16,31,0.739199,0.807486,1.237185,0.323021
16,32,0.686684,0.812975,1.253131,0.305668
17,0,0.674205,0.777449,-0.985012,0.999729
