frame,landmark,x,y,z,visibility
9,29,0.294164,0.826045,0.041002,0.868033
9,30,0.272540,0.839287,0.037002,0.914447
9,31,0.285977,0.929892,-0.046337,0.933159
9,32,0.270423,0.951902,-0.057152,0.971452
10,0,0.579006,0.197675,-0.147785,0.999942
10,1,0.583545,0.176709,-0.125252,0.999846
10,2,0.583055,0.176282,-0.125195,0.999798
10,3,0.582344,0.175402,-0.125130,0.999827
10,4,0.580763,0.172407,-0.165141,0.999934
10,5,0.578494,0.168801,-0.165190,0.999938
10,6,0.575980,0.164687,-0.165286,0.999947
10,7,0.566159,0.164142,-0.012035,0.999537
10,8,0.559045,0.152445,-0.193354,0.999948
10,9,0.567938,0.212139,-0.101360,0.999861
10,10,0.564472,0.206675,-0.153934,0.999943
10,11,0.538612,0.260620,0.110419,0.999718
10,12,0.476604,0.207897,-0.238048,0.999987
10,13,0.509428,0.410246,0.182249,0.113710
10,14,0.434164,0.369538,-0.295176,0.997453
10,15,0.513030,0.545334,0.105874,0.332360
10,16,0.416569,0.533108,-0.323552,0.992259
10,17,0.512718,0.582380,0.106051,0.350514
10,18,0.408342,0.571165,-0.354407,0.985362
10,19,0.515035,0.582020,0.068255,0.368142
10,20,0.416135,0.575321,-0.354567,0.985637
10,21,0.513820,0.569799,0.087233,0.356814
10,22,0.421294,0.564462,-0.321299,0.976793
10,23,0.493394,0.555537,0.092364,0.999260
10,24,0.455606,0.531163,-0.092387,0.999498
10,25,0.442106,0.739210,-0.090270,0.927439
10,26,0.410097,0.749032,-0.118642,0.975221
10,27,0.319104,0.839319,0.020338,0.897193
10,28,0.294420,0.850479,0.060643,0.970534
10,29,0.293694,0.826418,0.028379,0.872535
10,30,0.272115,0.837815,0.074741,0.913366
10,31,0.283541,0.930194,-0.059175,0.935698
10,32,0.270301,0.949778,-0.011369,0.970701
11,0,0.581477,0.204492,-0.145483,0.999940
11,1,0.585806,0.182339,-0.123546,0.999848
11,2,0.585184,0.181797,-0.123485,0.999799
11,3,0.584313,0.180803,-0.123418,0.999828
11,4,0.583276,0.178116,-0.162868,0.999935
11,5,0.581124,0.174697,-0.162909,0.999939
11,6,0.578606,0.170601,-0.163003,0.999948
11,7,0.567794,0.169890,-0.012732,0.999546
11,8,0.561572,0.158764,-0.191852,0.999949
11,9,0.569961,0.218079,-0.100129,0.999859
11,10,0.566744,0.212672,-0.151937,0.999943
11,11,0.538987,0.265155,0.108507,0.999699
11,12,0.477701,0.211440,-0.235977,0.999986
11,13,0.509413,0.413898,0.178934,0.108132
11,14,0.432660,0.369553,-0.294282,0.997469
11,15,0.512828,0.546508,0.102669,0.320506
11,16,0.416327,0.533190,-0.321541,0.992234
11,17,0.512568,0.584014,0.102176,0.340791
11,18,0.408034,0.571430,-0.354207,0.985308
11,19,0.514972,0.583716,0.064362,0.357906
11,20,0.416088,0.575517,-0.350159,0.985580
11,21,0.513608,0.571835,0.084857,0.346867
11,22,0.421313,0.564587,-0.320815,0.976534
11,23,0.492371,0.563407,0.090978,0.999279
11,24,0.454797,0.538028,-0.090976,0.999503
11,25,0.440237,0.742502,-0.087874,0.929641
11,26,0.406743,0.752898,-0.109453,0.975954
11,27,0.317042,0.839324,0.011042,0.900208
11,28,0.290169,0.849953,0.061878,0.969642
11,29,0.293078,0.826277,0.017937,0.875550
11,30,0.267940,0.838053,0.074701,0.913041
11,31,0.279955,0.929693,-0.066352,0.937446
11,32,0.268731,0.949280,-0.008693,0.969887
12,0,0.583241,0.215338,-0.136178,0.999938
12,1,0.587665,0.192131,-0.115619,0.999847
12,2,0.587005,0.191369,-0.115561,0.999799
12,3,0.586074,0.190303,-0.115498,0.999828
12,4,0.585286,0.187912,-0.153380,0.999936
12,5,0.583171,0.184404,-0.153414,0.999939
12,6,0.580666,0.180288,-0.153496,0.999948
12,7,0.569176,0.177433,-0.009959,0.999551
12,8,0.562767,0.166109,-0.182923,0.999950
12,9,0.571500,0.227218,-0.093261,0.999854
12,10,0.568366,0.221607,-0.142988,0.999942
12,11,0.538804,0.267515,0.106408,0.999670
12,12,0.478933,0.217128,-0.225332,0.999986
12,13,0.507945,0.415040,0.166401,0.102170
12,14,0.430991,0.369559,-0.279163,0.997499
12,15,0.511176,0.546905,0.087343,0.307703
12,16,0.415868,0.533242,-0.302081,0.992221
12,17,0.510508,0.583994,0.089104,0.330589
12,18,0.407872,0.571637,-0.328885,0.985260
12,19,0.513561,0.583777,0.054024,0.347104
12,20,0.416109,0.575537,-0.323426,0.985534
12,21,0.511929,0.571663,0.070391,0.336214
12,22,0.421329,0.564588,-0.297937,0.976348
12,23,0.490948,0.568193,0.089964,0.999283
12,24,0.454694,0.544412,-0.089938,0.999505
12,25,0.438814,0.749159,-0.091140,0.930659
12,26,0.404251,0.760889,-0.107051,0.976630
12,27,0.315629,0.839431,-0.010266,0.901925
12,28,0.286973,0.850162,0.052576,0.968710
12,29,0.292663,0.825399,-0.005126,0.877565
12,30,0.264975,0.838417,0.064269,0.913457
12,31,0.283115,0.929870,-0.085303,0.938421
12,32,0.263298,0.950056,-0.016436,0.968957
13,0,0.584718,0.222931,-0.142048,0.999936
13,1,0.589526,0.200063,-0.120239,0.999847
13,2,0.588934,0.199455,-0.120173,0.999798
13,3,0.588095,0.198637,-0.120110,0.999827
13,4,0.586939,0.195328,-0.156275,0.999936
13,5,0.584768,0.191636,-0.156292,0.999939
13,6,0.582215,0.187478,-0.156367,0.999948
13,7,0.571132,0.184560,-0.010482,0.999555
13,8,0.563849,0.171692,-0.182038,0.999951
13,9,0.572834,0.235247,-0.097485,0.999850
13,10,0.569440,0.228837,-0.145141,0.999941
13,11,0.539704,0.272692,0.105688,0.999660
13,12,0.479665,0.225258,-0.220064,0.999986
13,13,0.506698,0.416604,0.164406,0.098302
13,14,0.426908,0.369778,-0.276972,0.997614
13,15,0.511017,0.547151,0.084185,0.305792
13,16,0.415097,0.533414,-0.302981,0.992398
13,17,0.510626,0.583800,0.085414,0.331674
13,18,0.407606,0.572008,-0.330308,0.985453
13,19,0.513628,0.583540,0.050131,0.348257
13,20,0.416122,0.575643,-0.323876,0.985725
13,21,0.512094,0.571510,0.067412,0.336104
13,22,0.421337,0.564636,-0.298193,0.976516
13,23,0.489187,0.574835,0.089801,0.999312
13,24,0.454256,0.552166,-0.089773,0.999515
13,25,0.436623,0.754706,-0.149356,0.932636
13,26,0.402524,0.768458,-0.107852,0.977552
13,27,0.312234,0.839219,-0.057530,0.905498
13,28,0.284809,0.850365,0.057138,0.968741
13,29,0.290858,0.821356,-0.050894,0.881647
13,30,0.264157,0.837820,0.070136,0.915417
13,31,0.282997,0.928252,-0.140163,0.940619
13,32,0.259833,0.950525,-0.010072,0.968769
14,0,0.585474,0.235639,-0.161277,0.999928
14,1,0.590836,0.214016,-0.138531,0.999835
14,2,0.590347,0.213737,-0.138476,0.999782
14,3,0.589673,0.213092,-0.138429,0.999812
14,4,0.587995,0.207893,-0.173168,0.999933
14,5,0.585822,0.203695,-0.173186,0.999936
14,6,0.583240,0.199158,-0.173251,0.999945
14,7,0.573624,0.196645,-0.020709,0.999518
14,8,0.565600,0.181548,-0.183198,0.999950
14,9,0.573834,0.247595,-0.114225,0.999832
14,10,0.570162,0.240261,-0.160001,0.999937
14,11,0.541571,0.278762,0.103219,0.999635
14,12,0.480379,0.236360,-0.217287,0.999986
14,13,0.505619,0.417818,0.163183,0.093888
14,14,0.424161,0.372176,-0.267703,0.997733
14,15,0.510222,0.547525,0.081193,0.297456
14,16,0.414274,0.534527,-0.298794,0.992558
14,17,0.510606,0.583654,0.081861,0.325756
14,18,0.407520,0.573457,-0.325919,0.985559
14,19,0.513552,0.583376,0.046854,0.342258
14,20,0.416176,0.576224,-0.317547,0.985849
14,21,0.512081,0.571465,0.064497,0.329537
14,22,0.421352,0.565064,-0.292498,0.976662
14,23,0.487035,0.579806,0.090198,0.999329
14,24,0.453621,0.558229,-0.090165,0.999522
14,25,0.433658,0.760401,-0.128591,0.931997
14,26,0.401436,0.775039,-0.117621,0.978145
14,27,0.306484,0.839303,-0.037641,0.907448
14,28,0.283516,0.850520,0.052711,0.968479
14,29,0.288134,0.820763,-0.031426,0.884425
14,30,0.264052,0.837373,0.064473,0.917165
14,31,0.279649,0.927864,-0.120595,0.941695
14,32,0.257417,0.950005,-0.017488,0.968261
15,0,0.586057,0.244792,-0.167878,0.999918
15,1,0.591661,0.223436,-0.146358,0.999819
15,2,0.591200,0.223003,-0.146310,0.999761
15,3,0.590577,0.222239,-0.146267,0.999794
15,4,0.588736,0.217846,-0.182398,0.999928
15,5,0.586612,0.213821,-0.182425,0.999930
15,6,0.584131,0.209414,-0.182503,0.999941
15,7,0.574939,0.205720,-0.031424,0.999484
15,8,0.567344,0.191372,-0.196581,0.999948
15,9,0.574541,0.255773,-0.121524,0.999814
15,10,0.570973,0.249203,-0.169028,0.999932
15,11,0.542343,0.281822,0.092755,0.999611
15,12,0.480883,0.241540,-0.218080,0.999986
15,13,0.505173,0.418953,0.155792,0.089459
15,14,0.423079,0.373531,-0.270249,0.997821
15,15,0.510182,0.547494,0.066529,0.288135
15,16,0.413711,0.535788,-0.299778,0.992561
15,17,0.510784,0.583510,0.065125,0.318846
15,18,0.407519,0.574497,-0.327051,0.985385
15,19,0.513635,0.583084,0.029777,0.335334
15,20,0.416375,0.576431,-0.319536,0.985698
15,21,0.512363,0.570391,0.049131,0.322217
15,22,0.421378,0.565424,-0.293821,0.976407
15,23,0.486198,0.587153,0.090503,0.999330
15,24,0.453491,0.565728,-0.090452,0.999523
15,25,0.433113,0.766145,-0.112368,0.931770
15,26,0.400639,0.780790,-0.121775,0.978580
15,27,0.302960,0.839924,-0.016214,0.908235
15,28,0.282797,0.850772,0.051040,0.967071
15,29,0.285918,0.820625,-0.009627,0.886989
15,30,0.263931,0.837492,0.063771,0.918214
15,31,0.274582,0.927399,-0.095746,0.941983
15,32,0.254813,0.946808,-0.013968,0.966774
